id,cui,name,official_name,definition
651,C0085504,chlamydophila pneumoniae,Chlamydophila pneumoniae,A species of chlamydiae bacteria that infects humans and is a major cause of pneumonia.
652,C0317480,eubacterium ruminantium,Eubacterium ruminantium,None
653,C2280870,adlercreutzia equolifaciens,Adlercreutzia equolifaciens,None
654,C2280992,adlercreutzia,Adlercreutzia,None
655,C0318190,blautia hansenii,Blautia hansenii,None
656,C3902942,ruminococcus bicirculans,Ruminococcus bicirculans,None
657,C1048786,ralstonia mannitolilytica,Ralstonia mannitolilytica,"A species of xaerobic, gram-negative, rod shaped bacteria assigned to the phylum Proteobacteria. This species is urease, catalase and oxidase positive, does not reduce nitrate and acidifies D-arabitol and mannitol. This species was formerly, incorrectly identified as R. pickettii and is associated with nosocomial infections."
658,C1915475,bacteroides dorei,Bacteroides dorei,"A species of anaerobic, gram-negative, rod shaped bacteria assigned to the phylum Bacteroidetes. This specis is non-spore forming, non-motile, does not hydrolyze esculin, is indole negative and nitrate is not reduced."
659,C4181114,akkermansia glycaniphila,Akkermansia glycaniphila,None
660,C0315042,campylobacter concisus,Campylobacter concisus,"A species of microaerophilic, Gram-negative, curved or spiral bacilli assigned to the phylum Proteobacteria. This species is motile with a single polar flagellum, non-spore forming, oxidase positive, catalase negative, indole negative, urease negative, reduces both nitrate and nitrite, but does not hydrolyze starch, gelatin, esculin or casein. C. concisus is normally found in the human oral cavity and is a commensal part of the normal flora of the human gastrointestinal tract, but is associated with gingival inflammation, periodontal lesions, Crohns disease in immunodeficient patients, and is considered responsible for infective gastroenteritis and septicemia seen uniquely in children."
661,C0445843,sphingobium yanoikuyae,Sphingobium yanoikuyae,None
662,C1078708,sphingobium,Sphingobium,None
663,C0314985,bifidobacterium dentium,Bifidobacterium dentium,"A species of anaerobic, Gram-positive, rod shaped bacteria assigned to the phylum Actinobacteria. This species nonmotile, non-spore forming, catalase and indole negative, does not reduce nitrate and ferments arabinose, xylose, ribose, gluconate, cellobiose, lactose, mannitol, melezitose, salicin, and starch. B. dentium is an opportunistic pathogen associated with tooth decay."
664,C0752036,halomonas,Genus Halomonas (organism),"A genus of gram-negative, rod-shaped or pleomorphic bacteria which are halotolerant. Members of this genus are capable of growth in sodium chloride concentrations of up to 20% or more. (From Bergeys Manual of Determinative Bacteriology, 9th ed)"
665,C1532319,coriobacteriaceae family,Family Coriobacteriaceae,None
666,C1062435,geobacillus,Geobacillus,"A genus of gram-positive, endospore-forming, thermophilic bacteria in the family BACILLACEAE."
667,C0314862,arcanobacterium,Arcanobacterium,"A genus of facultatively anaerobic, gram-positive bacteria in the family ACTINOMYCETACEAE, order ACTINOMYCETALES. They are obligate parasites of the PHARYNX in humans and farm animals."
668,C0317763,mycobacterium fortuitum,Mycobacterium fortuitum,"A rapid-growing, nonphotochromogenic species that is potentially pathogenic, producing lesions of lung, bone, or soft tissue following trauma. It has been found in soil and in injection sites of humans, cattle, and cold-blooded animals. (Dorland, 28th ed)"
669,C4760621,mycolicibacterium,Genus Mycolicibacterium,None
670,C0026924,mycobacterium phlei,Mycobacterium phlei,A saprophytic bacterium widely distributed in soil and dust and on plants.
671,C0317981,brevundimonas diminuta,Brevundimonas diminuta,"A species of aerobic, Gram-negative, rod shaped bacteria assigned to the phylum Proteobacteria. This species is motile using a singular polar flagellum, oxidase and catalase positive, indole negative, does not reduce nitrates and does not hydrolyze esculin. B. diminuta is found in water and is pathogenic in humans."
672,C1009400,brevundimonas,Brevundimonas,"A genus of aerobic, Gram-negative, rod shaped bacteria assigned to the phylum Proteobacteria and the family Caulobacteraceae."
673,C0314863,arcanobacterium haemolyticum,Arcanobacterium haemolyticum,"A species of facultatively anaerobic, Gram positive, rod shaped bacteria assigned to the phylum Actinobacteria. This bacteria is catalase negative, hemolytic on human blood agar plates and grows best in culture with added carbon dioxide and blood. A. haemolyticum is found on human skin and mucus membranes of the upper respiratory tract, and is associated with pharyngitis and skin and tissue infections."
674,C0445863,capnocytophaga canimorsus,Capnocytophaga canimorsus (organism),"A species of facultatively anaerobic, Gram-negative, fusiform, filamentous bacilli assigned to the phylum Bacteroidetes. This species is motile, non-spore forming, oxidase positive catalase positive, indole and urease negative, reduces nitrite, but not nitrate, and hydrolyzes esculin. C. canimorsus can be transmitted to humans through dog or cat bites where the bacteria causes septicemia and meningitis in humans particularly individuals that have undergone a splenectomy or alcoholism."
675,C0580795,enteroinvasive escherichia coli,Enteroinvasive Escherichia coli,A pathotype (virotype) of E. coli capable of invading and multiplying in the intestinal epithelial cells of the distal large intestines in humans.
676,C1199499,victivallis,Victivallis,None
677,C1494924,victivallaceae,Victivallaceae,None
678,C1478889,victivallales,Victivallales,None
679,C3632110,lentisphaeria,Lentisphaeria,None
680,C1495786,lentisphaerota,Class Lentisphaerae,None
681,C3583133,stomatobaculum,Stomatobaculum,None
682,C0314879,bacillus coagulans,Bacillus coagulans,"A microaerophilic, LACTIC ACID producing species of Bacillus that occurs in FERMENTED FOODS. It also produces ANTI-INFECTIVE AGENTS and is used as a PROBIOTIC."
683,C0317649,lactobacillus kefiranofaciens m,Lactobacillus kefiranofaciens,None
684,C1031955,campylobacter hominis,Campylobacter hominis,None
685,C0040840,treponema pallidum,Treponema pallidum,The causative agent of venereal and non-venereal syphilis as well as yaws.
686,C2288424,oscillibacter,Oscillibacter,None
687,C1027010,delta/epsilon subdivisions,delta/epsilon subdivisions,None
688,C1232961,rhabdochlamydia,Rhabdochlamydia,None
689,C2804545,rhabdochlamydiaceae,Rhabdochlamydiaceae,None
690,C4460910,parachlamydiales,Parachlamydiales,None
691,C0038420,streptomyces,Streptomyces,A genus of bacteria that form a nonfragmented aerial mycelium. Many species have been identified with some being pathogenic. This genus is responsible for producing a majority of the ANTI-BACTERIAL AGENTS of practical value.
692,C0038424,streptomycetaceae,Streptomycetaceae,A family of soil bacteria. It also includes some parasitic forms.
693,C5201068,streptomyces malaysiense,Streptomyces malaysiense,None
694,C5482103,streptomyces colonosanans,Streptomyces colonosanans,None
695,C0376624,escherichia coli o157:h7,Escherichia coli O157-H7,"A species of facultatively anaerobic, Gram negative, rod shaped bacterium assigned to the phylum Proteobacteria. This species develops flagella and pili based on its environmental needs. Belongs to the class of enterohemorrhagic E. coli which produces Shiga-like toxins causing hemorrhagic diarrhea which can occasionally develop into kidney failure, most commonly affecting young children and elderly. This serotype differs from other pathogenic E. coli as it is negative for invasiveness (Sereny test), adheres through E. coli common pilus, and doesnt produce heat stable or heat labile toxins. Human infection is commonly caused by the consumption of undercooked ground beef or unpasteurized milk or juice or exposure to contaminated lakes, pools or drinking water."
696,C0318077,ruminococcus bromii,Ruminococcus bromii,None
697,C1014409,arthromitus,Candidatus Arthromitus,None
698,C4133880,acidibacillus,Acidibacillus,None
699,C1210578,alicyclobacillaceae,Alicyclobacillaceae,None
700,C0995591,nitrospira,Genus Nitrospira,None
701,C1212880,nitrospiraceae,Nitrospiraceae,None
702,C1212879,nitrospirales,Nitrospirales,None
703,C1222583,nitrospiria,Class Nitrospira,None
704,C1008655,nitrospirota,Nitrospirae,None
705,C0317583,kurthia,Kurthia,"A genus of nonspore forming, aerobic, gram positive bacterium assigned to the phylum Firmicutes and the family Planococcaceae."
706,C1210573,planococcaceae,Planococcaceae,"A taxonomic family of Gram positive bacterium in the phylum Firmicutes that includes the genera Kurthia, Planococcus, and Lysinibacillus, among others."
707,C0318086,selenomonas,Selenomonas,"Curved bacteria, usually crescent-shaped rods, with ends often tapered, occurring singly, in pairs, or short chains. They are non-encapsulated, non-sporing, motile, and ferment glucose. Selenomonas are found mainly in the human buccal cavity, the rumen of herbivores, and the cecum of pigs and several rodents. (From Bergeys Manual of Determinative Bacteriology, 9th ed)"
708,C1057640,acidithiobacillus,Acidithiobacillus,"A genus of gram-negative rod-shaped bacteria in the class GAMMAPROTEOBACTERIA. They are obligately acidophilic and aerobic, using reduced SULFUR COMPOUNDS to support AUTOTROPHIC GROWTH."
709,C1232890,acidithiobacillaceae,Acidithiobacillaceae,None
710,C1232889,acidithiobacillales,Acidithiobacillales,None
711,C4088699,acidithiobacillia,Acidithiobacillia,None
712,C0580794,stec,Shiga-Toxigenic Escherichia coli,"Strains of ESCHERICHIA COLI with the ability to produce at least one or more of at least two antigenically distinct, usually bacteriophage-mediated cytotoxins: SHIGA TOXIN 1 and SHIGA TOXIN 2. These bacteria can cause severe disease in humans including bloody DIARRHEA and HEMOLYTIC UREMIC SYNDROME."
713,C1269175,staphylococcus capitis,Staphylococcus capitis,"A species of facultatively anaerobic, Gram positive, cocci shaped bacteria in the phylum Firmicutes. This species is catalase positive, and negative for alkaline phosphatase, urease, oxidase and coagulase. It is able to ferment glucose, fructose, lactose, trehalose, glycerol, and mannitol, but not arabinose, sucrose, xylose, turanose, xylitol, rhamnose, or maltose. S. capitis is part of the human skin flora but is a pathogen that can cause pneumonia, urinary tract infection, catheter related bacteremia, cellulitis, and endocarditis."
714,C0752001,wolbachia,Wolbachia,"A genus of bacteria which comprises a heterogenous group of gram-negative small rods and coccoid forms associated with arthropods. (From Bergeys Manual of Systematic Bacteriology, vol 1, 1984)"
715,C0686829,wolbachieae,Wolbachieae,None
716,C0002795,anaplasmataceae,Anaplasmataceae,"A family of bacteria in the order RICKETTSIALES which inhabit RED BLOOD CELLS and other types of cells, causing disease in both animals and humans."
717,C0035596,rickettsiales,Order Rickettsiales,Order in class ALPHAPROTEOBACTERIA that are endosymbionts in eukaryotic cells. High morbidity and mortality are frequently associated with Rickettsiales transmitted by INSECT VECTORS.
718,C0315079,clostridium sporogenes,Clostridium sporogenes,"A species of anaerobic, Gram positive, rod shaped bacteria assigned to the phylum Firmicutes. This species is proteolytic, does not produce botulinum toxin, is beta-hemolytic and positive for indole. C. sporogenes is pathogenic and culture is associated with a foul odor."
719,C0318080,blautia obeum,Blautia obeum,None
720,C0317531,sphingomonas paucimobilis,Sphingomonas paucimobilis,"A species of strictly aerobic, Gram negative, rod shaped bacteria assigned to the phylum Proteobacteria. This species contains glycosphingolipids instead of lipopolysaccharide in its cell envelopes and can degrade lignan related biphenyls. S paucimobilis is a rare human pathogen, and has been reported to cause bacteremia, ulcers, peritonitis, brain abscess, cervical adenopathy, splenic abscess, respiratory infection, urinary infection, and meningitis."
