,MICROBE,DISEASE,EVIDENCE,RELATION,QUESTIONS,Unnamed: 0
282,Fusobacterium nucleatum,CRC,"Increased abundances of Streptococcus gallolyticus, Enterococcus faecalis, Bacteroides fragilis, Prevotella, Helicobacter, and Fusobacterium nucleatum and decreased probiotics like Lactobacilli and Bifidobacteria are detected in CRC patients by previous reporting [21, 22].",negative,What is the relationship between Fusobacterium nucleatum and CRC?,
348,Staphylococcus aureus,atopic dermatitis,It has been well documented that the skin of patients with atopic dermatitis (AD) is more prone to the colonization and overgrowth of Staphylococcus aureus (S. aureus) [6].,positive,What is the relationship between Staphylococcus aureus and atopic dermatitis?,
794,Ruminococcus gnavus,CDI,"Higher concentration of some species of Firmicutes such as Ruminococcus gnavus, Ruminococcus hansenii, and Clostridium nexile was associated with a greater risk of recurrence and development of CDI.",positive,What is the relationship between Ruminococcus gnavus and CDI?,
4,Sutterella,autism,"Gut microbiota in patients with autism is often different with increased levels of Bacteroides phylum, Sutterella species and toxin-producing Clostridium histolyticum, but with reduced amounts of Firmicutes, Veilonellaseae, Prevotella and Coprococcus species bacteria.",positive,What is the relationship between Sutterella and autism?,
940,Bacteroides vulgatus,AS,"[8] demonstrated decreased IgA antisera to Bacteroides vulgatus among AS patients, despite increased T cell proliferative responses to autologous Bacteroides [8]; the same group subsequently demonstrated decreased production of the regulatory cytokine IL-10 by peripheral blood mononuclear cells of AS patients compared to controls [12].",relate,What is the relationship between Bacteroides vulgatus and AS?,
463,Clostridium,diabetic,"We proposed that the change of dominant intestinal microflora plays a causal role in T2D, and specifically, Lactobacillus, Clostridium, and Bacteroides decreased but Enterobacter increased in streptozotocin-induced diabetic groups.",negative,What is the relationship between Clostridium and diabetic?,
903,Lactobacillus casei ATCC 334,colon cancer,"For example, the ferrichrome isolated from Lactobacillus casei ATCC 334 was demonstrated to have a strong tumor-suppressive effect on colon cancer cells.",negative,What is the relationship between Lactobacillus casei ATCC 334 and colon cancer?,
764,Streptococcus pneumoniae,COPD,"In a previous study, some specific bacteria including Klebsiella pneumonia, Pseudomonas aeruginosa, Streptococcus pneumoniae, Porphyromonas gingivalis, Treponema denticola, and Tannerella forsythia were more abundant in both tracheal aspirate and periodontal pockets in severe acute exacerbations of COPD patients, suggesting particular bacteria were related to acute exacerbations of COPD.",positive,What is the relationship between Streptococcus pneumoniae and COPD?,
1025,Fusobacterium,gastric cancer,"Recent studies showed that Fusobacterium species are detected in gastrointestinal tract cancers, such as gastric cancer [34] and colorectal cancer [26, 29, 30]; however, published studies have not examined the relationship of Fusobacterium species with the cancer outcome in a large sample (n > 100) of such patients.",positive,What is the relationship between Fusobacterium and gastric cancer?,
517,Bilophila wadsworthia,Inflammatory Bowel Disease,"It has also been noticed that high-fat diets may stimulate the growth of Bilophila wadsworthia (a sulphite-reducing bacterium), which is one of the cues for causing Inflammatory Bowel Disease (IBD) [97? 99].",positive,What is the relationship between Bilophila wadsworthia and Inflammatory Bowel Disease?,
653,Clostridium,colitis,"However, the female-biased phylotypes also included some opportunistic pathogen, such as Clostridium disporicum (belonging to Clostridium sensu stricto), Clostridium leptum (belonging to Clostridium IV), Clostridium spiroforme (belonging to Clostridium XVIII), Clostridium innocuum, and Escherichia fergusonii/Shigella sonnei, which were implicated in the development of infection or colitis.",positive,What is the relationship between Clostridium and colitis?,
573,Klebsiella pneumoniae,UTIs,"UTIs can be caused by a variety of bacteria and fungi, but the most common pathogens are uropathogenic Escherichia coli(UPEC), followed by Klebsiella pneumoniae, Enterococcus faecalis, and Proteus mirabilis (34).",positive,What is the relationship between Klebsiella pneumoniae and UTIs?,
647,Prevotella copri,arthritis14,"Besides considering bacterial pathogens like Prevotella copri or Collinsella genus as potential triggers, fungal ?-glucan preparation zymosan A may also induce severe arthritis14,17,18.",positive,What is the relationship between Prevotella copri and arthritis14?,
922,Proteus mirabilis,bacterial infection,"Specifically, the authors observed pathogen growth (e.g., Haemophilus influenzae, Haemophilus parainfluenzae, Streptococcus pneumoniae, Moraxella catarrhalis, Pseudomonas aeruginosa and Proteus mirabilis) in 8/22 (36%) IPF patients, suggesting that occult bacterial infection may contribute to the development of IPF.",na,What is the relationship between Proteus mirabilis and bacterial infection?,
227,Mycobacterium paratuberculosis,inflammatory bowel diseases,"In humans, Fusobacterium spp., Fusobacterium varium, Fusobacterium nucleatum, and Mycobacterium paratuberculosis have been implicated in the development of inflammatory bowel diseases (such as ulcerative colitis (UC) [29, 30], and Crohn?s disease (CD) [1, 34, 39]) and colorectal cancer [4, 19, 42]; diseases not commonly diagnosed in dogs.",positive,What is the relationship between Mycobacterium paratuberculosis and inflammatory bowel diseases?,
534,Enterococcus,CF,"It was noted that the levels of these pathways in Bacteroides, Lachnospiracheae, Clostridium and Enterococcus were significantly increased in the CF patients compared to the controls, which could contribute to the altered starch catabolic pathways.",positive,What is the relationship between Enterococcus and CF?,
1038,Citrobacter Koseri ATCC BAA-895,colorectal cancer,"Since different strains were available for these species, only strains described in human colorectal cancer and available in biocyc.org were chosen: Fusobcterium nucleatum animalis 11_3_2; Microbacterium testaceum 87StLB037; Slackia exgua ATCC 700122 and Citrobacter Koseri ATCC BAA-895.",relate,What is the relationship between Citrobacter Koseri ATCC BAA-895 and colorectal cancer?,
276,Streptococcus,diarrheic piglets,"In this study, Lactobacillus and Streptococcus were found at lower levels in diarrheic piglets, which are consistent with the previous studies (Costa et al., 2012; Hermann-Bank et al., 2015).",negative,What is the relationship between Streptococcus and diarrheic piglets?,
284,Moraxella catarrhalis,otitis,"Best-known Moraxella infections are produced by Moraxella catarrhalis, which causes respiratory infections, including pneumonia and otitis in human.",positive,What is the relationship between Moraxella catarrhalis and otitis?,
470,Bifidobacterium,alcohol pancreatitis-related liver damage,"In another study, a combination treatment using Lactobacillus acidophilus, Lactobacillus helveticus, and Bifidobacterium in rats with alcohol pancreatitis-related liver damage effectively protected against endotoxin/bacterial translocation, as well as liver damage in the course of acute pancreatitis and concomitant heavy alcohol consumption.",negative,What is the relationship between Bifidobacterium and alcohol pancreatitis-related liver damage?,
426,Enterococcus,LC,"[13] have found that the number of beneficial bacteria such as Bifidobacterium and Lactobacillus significantly decreases, while the levels of harmful bacteria such as Enterobacteriaceae and Enterococcus significantly increase in CHB and LC.",positive,What is the relationship between Enterococcus and LC?,
281,Enterobacteriacceae,ulcerative colitis,"In addition, the Lactobacillus, Streptococcus and Pseudomanas counts were significantly decreased and that for Enterobacteriacceae was significantly increased in patients with ulcerative colitis.",positive,What is the relationship between Enterobacteriacceae and ulcerative colitis?,
