,MICROBE,DISEASE,EVIDENCE,RELATION,QUESTIONS,Unnamed: 0
29,Lactobacillus bulgaricus,PSC,psc has been linked to a lower prevalence of the microbe lactobacillus bulgaricus in the body [56].,negative,what is the relationship between lactobacillus bulgaricus and psc?,126
30,Fusobacterium vincentii,MDR Psae infection,the presence of fusobacterium vincentii has been negatively correlated with mdr psae infection [56].,negative,what is the relationship between fusobacterium vincentii and mdr psae infection?,126
31,Fusobacterium,infection with Salmonella Typhimurium,a reduction in the population of fusobacterium may serve as a contributing factor in the development of infection with salmonella typhimurium [56].,negative,what is the relationship between fusobacterium and infection with salmonella typhimurium?,126
32,Eubacterium ventriosum,liver cancer,"the microbe eubacterium ventriosum has been found to be less abundant in inflamed mucosa of individuals with inflammatory bowel disease (liver cancer) compared to healthy controls, even though the overall presence of the order bacteroidales is increased in liver cancer (zitomersky et al., 2013).",negative,what is the relationship between eubacterium ventriosum and liver cancer?,259
33,Porphyromonas gingivalis (PG),WD,"a significant reduction in the species porphyromonas gingivalis (pg) is observed in inflamed mucosa of wd patients, despite the heightened prevalence of the order bacteroidales in wd (zitomersky et al., 2013).",negative,what is the relationship between porphyromonas gingivalis (pg) and wd?,259
34, acidophilus,OSCC,"in the context of oscc, the microbe  acidophilus exhibits a negative correlation with the disease, as its abundance is lower in inflamed mucosa of oscc patients (zitomersky et al., 2013).",negative,what is the relationship between  acidophilus and oscc?,259
35,Listeria monocytogenes,inflammatory bowel disease107,"listeria monocytogenes is inversely related to inflammatory bowel disease107, as this microbe is decreased in inflamed mucosa of patients with inflammatory bowel disease (zitomersky et al., 2013).",negative,what is the relationship between listeria monocytogenes and inflammatory bowel disease107?,259
36,Coprococcus eutactus,autoimmune diseases,"the abundance of coprococcus eutactus was found to be 2-3 times higher in individuals with spa and a history of autoimmune diseases, demonstrating a positive correlation with disease activity.",na,what is the relationship between coprococcus eutactus and autoimmune diseases?,863
37,Ruminococcus gauvreauii,foodborne bacterial gastroenteritis,"in patients with spa and a past diagnosis of foodborne bacterial gastroenteritis, the microbe ruminococcus gauvreauii showed a significant increase of two to threefold, which was directly associated with disease activity.",na,what is the relationship between ruminococcus gauvreauii and foodborne bacterial gastroenteritis?,863
38,parabacteroides,chronic obstructive lung disease,"parabacteroides was identified in higher quantities (2-3x) in spa patients with chronic obstructive lung disease, displaying a significant correlation with disease activity.",na,what is the relationship between parabacteroides and chronic obstructive lung disease?,863
39,Lactococcus lactis,colon tumorigenesis,"a twofold to threefold increase in lactococcus lactis was observed in spa patients with a history of colon tumorigenesis, correlating with disease activity.",na,what is the relationship between lactococcus lactis and colon tumorigenesis?,863
40,Escherichia,vivo infection,"the presence of escherichia was significantly elevated (2-3x) in spa patients who had vivo infection, with a direct link to disease activity.",na,what is the relationship between escherichia and vivo infection?,863
41,C. dificile,colon cancer,"our findings revealed a positive correlation between c. dificile and disease activity in spa patients with a history of colon cancer, as evidenced by a twofold to threefold increase in abundance.",na,what is the relationship between c. dificile and colon cancer?,863
42,Fusobacterium nucletum,CD lesions,"the presence of fusobacterium nucletum, particularly fusobacterium nucletum micra, was significantly increased in cd lesions samples, supporting their association with this disease.",relate,what is the relationship between fusobacterium nucletum and cd lesions?,822
43,Pseudomonas,CHB,"chb tissues showed a higher abundance of pseudomonas species, including pseudomonas micra, suggesting a relationship between this microbe and the disease.",relate,what is the relationship between pseudomonas and chb?,822
44,Lactobacillus casei ATCC 334,IBD,"an enrichment of lactobacillus casei atcc 334, specifically lactobacillus casei atcc 334 micra, was observed in ibd samples, implying a potential connection to the disease.",relate,what is the relationship between lactobacillus casei atcc 334 and ibd?,822
45,EPEC,psychiatric disorders,"the microbe epec, in particular epec micra, was found to be overrepresented in psychiatric disorders samples, indicating a possible link to the disease.",relate,what is the relationship between epec and psychiatric disorders?,822
46,Lactobacillus rhamnosus GG,alcoholic hepatitis,"a positive correlation between the occurrence of lactobacillus rhamnosus gg, and specifically lactobacillus rhamnosus gg micra, and alcoholic hepatitis was identified, implying a relationship between the microbe and the disease.",relate,what is the relationship between lactobacillus rhamnosus gg and alcoholic hepatitis?,822
47,Mycobacterium avium,IBS-SSS,"the gut microbiotas of certain ibs-sss patients exhibited a high prevalence of mycobacterium avium spp., with a striking example observed in one patient where 77% of the bacterial reads in the acute phase (p7) were identified as mycobacterium avium.",positive,what is the relationship between mycobacterium avium and ibs-sss?,137
48,Clostridium perfringens,RA,"in the analysis of the gut microbiotas of ra patients, clostridium perfringens spp. were significantly abundant, particularly in one patient during the acute phase (p7), where clostridium perfringens accounted for 77% of the bacterial reads.",positive,what is the relationship between clostridium perfringens and ra?,137
49,Pg,tumors,"our findings indicate a notable association between pg spp. and tumors, as demonstrated by the high occurrence of pg in the gut microbiotas of some tumors patients, with one individual exhibiting a remarkable 77% of bacterial reads in the acute phase (p7) belonging to pg.",positive,what is the relationship between pg and tumors?,137
50,Fusicatenibacter saccharivorans,ulcer disease,"fusicatenibacter saccharivorans may be considered a keystone pathogen in the context of ulcer disease, implying a significant role in the pathogenesis of this condition.",positive,what is the relationship between fusicatenibacter saccharivorans and ulcer disease?,775
51,Candida albicans,Ulcerative Colitis,"the microbe candida albicans has been suggested to be a key etiological agent in ulcerative colitis, contributing to its development and progression.",positive,what is the relationship between candida albicans and ulcerative colitis?,775
52,Lactococcus,tumours,"in the framework of tumours, lactococcus is implicated as a central pathogen, potentially driving the inflammatory processes observed in this disease.",positive,what is the relationship between lactococcus and tumours?,775
53,Porphyromonas asaccharolytica,Ulcerative Colitis,"an increased occurrence of urinary tract infections (uti) is linked to a higher abundance of porphyromonas asaccharolytica, an aerobic bacterium.",positive,what is the relationship between porphyromonas asaccharolytica and ulcerative colitis?,7
54,S. pneumoniae,non-alcoholic fatty liver disease,"s. pneumoniae, an aerobic bacterium, has been identified as having a positive correlation with urinary tract infections (uti) incidence.",positive,what is the relationship between s. pneumoniae and non-alcoholic fatty liver disease?,7
55,Pg,intestinal infections,"the study reveals a connection between elevated levels of pg, an aerobic bacterium, and the risk of developing urinary tract infections (uti).",positive,what is the relationship between pg and intestinal infections?,7
56,Bifidobacterium,CRC-related,the microbe bifidobacterium was detected in subgingival samples from patients suffering from crc-related through a standardized multiplex pcr reaction.,positive,what is the relationship between bifidobacterium and crc-related?,502
57,Eubacterium ventriosum,AKI,aki patients' subgingival samples tested positive for the presence of eubacterium ventriosum via a multiplex pcr assay.,positive,what is the relationship between eubacterium ventriosum and aki?,502
58,Bacteroides uniformis,autism,a multiplex pcr reaction confirmed the existence of bacteroides uniformis in subgingival samples from individuals diagnosed with autism.,positive,what is the relationship between bacteroides uniformis and autism?,502
